id,full_name,state,state_abb,abbreviation,nickname,city,year_founded
1610612737,Atlanta Hawks,Georgia,GA,ATL,Hawks,Atlanta,1949
1610612738,Boston Celtics,Massachusetts,MA,BOS,Celtics,Boston,1946
1610612739,Cleveland Cavaliers,Ohio,OH,CLE,Cavaliers,Cleveland,1970
1610612740,New Orleans Pelicans,Louisiana,LA,NOP,Pelicans,New Orleans,2002
1610612741,Chicago Bulls,Illinois,IL,CHI,Bulls,Chicago,1966
1610612742,Dallas Mavericks,Texas,TX,DAL,Mavericks,Dallas,1980
1610612743,Denver Nuggets,Colorado,CO,DEN,Nuggets,Denver,1976
1610612744,Golden State Warriors,California,CA,GSW,Warriors,Golden State,1946
1610612745,Houston Rockets,Texas,TX,HOU,Rockets,Houston,1967
1610612746,Los Angeles Clippers,California,CA,LAC,Clippers,Los Angeles,1970
1610612747,Los Angeles Lakers,California,CA,LAL,Lakers,Los Angeles,1948
1610612748,Miami Heat,Florida,FL,MIA,Heat,Miami,1988
1610612749,Milwaukee Bucks,Wisconsin,WI,MIL,Bucks,Milwaukee,1968
1610612750,Minnesota Timberwolves,Minnesota,MN,MIN,Timberwolves,Minnesota,1989
1610612751,Brooklyn Nets,New York,NY,BKN,Nets,Brooklyn,1976
1610612752,New York Knicks,New York,NY,NYK,Knicks,New York,1946
1610612753,Orlando Magic,Florida,FL,ORL,Magic,Orlando,1989
1610612754,Indiana Pacers,Indiana,IN,IND,Pacers,Indiana,1976
1610612755,Philadelphia 76ers,Pennsylvania,PA,PHI,76ers,Philadelphia,1949
1610612756,Phoenix Suns,Arizona,AZ,PHX,Suns,Phoenix,1968
1610612757,Portland Trail Blazers,Oregon,OR,POR,Trail Blazers,Portland,1970
1610612758,Sacramento Kings,California,CA,SAC,Kings,Sacramento,1948
1610612759,San Antonio Spurs,Texas,TX,SAS,Spurs,San Antonio,1976
1610612760,Oklahoma City Thunder,Oklahoma,OK,OKC,Thunder,Oklahoma City,1967
1610612761,Toronto Raptors,California,CA,TOR,Raptors,Toronto,1995
1610612762,Utah Jazz,Utah,UT,UTA,Jazz,Utah,1974
1610612763,Memphis Grizzlies,Tennessee,TN,MEM,Grizzlies,Memphis,1995
1610612764,Washington Wizards,Washington,WA,WAS,Wizards,Washington,1961
1610612765,Detroit Pistons,Michigan,MI,DET,Pistons,Detroit,1948
1610612766,Charlotte Hornets,North Carolina,NC,CHA,Hornets,Charlotte,1988
